,Month,Month-Year,Quarter,Quarter-Year,Year,Jobs,Topic,MSA
0,January,Jan-12,Q1,Q1-2012,2012,1326,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
1,February,Feb-12,Q1,Q1-2012,2012,603,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
2,March,Mar-12,Q1,Q1-2012,2012,891,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
3,April,Apr-12,Q2,Q2-2012,2012,657,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
4,May,May-12,Q2,Q2-2012,2012,745,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
5,June,Jun-12,Q2,Q2-2012,2012,711,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
6,July,Jul-12,Q3,Q3-2012,2012,563,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
7,August,Aug-12,Q3,Q3-2012,2012,615,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
8,September,Sep-12,Q3,Q3-2012,2012,712,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
9,October,Oct-12,Q4,Q4-2012,2012,1256,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,November,Nov-12,Q4,Q4-2012,2012,887,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
11,December,Dec-12,Q4,Q4-2012,2012,1199,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,January,Jan-13,Q1,Q1-2013,2013,1672,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
13,February,Feb-13,Q1,Q1-2013,2013,1264,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
14,March,Mar-13,Q1,Q1-2013,2013,1330,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
15,April,Apr-13,Q2,Q2-2013,2013,767,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
16,May,May-13,Q2,Q2-2013,2013,876,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
17,June,Jun-13,Q2,Q2-2013,2013,924,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
18,July,Jul-13,Q3,Q3-2013,2013,1214,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
19,August,Aug-13,Q3,Q3-2013,2013,737,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
20,September,Sep-13,Q3,Q3-2013,2013,848,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
21,October,Oct-13,Q4,Q4-2013,2013,1066,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
22,November,Nov-13,Q4,Q4-2013,2013,1031,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
23,December,Dec-13,Q4,Q4-2013,2013,777,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
24,January,Jan-14,Q1,Q1-2014,2014,886,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
25,February,Feb-14,Q1,Q1-2014,2014,1013,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
26,March,Mar-14,Q1,Q1-2014,2014,1061,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
27,April,Apr-14,Q2,Q2-2014,2014,1383,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
28,May,May-14,Q2,Q2-2014,2014,1361,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
29,June,Jun-14,Q2,Q2-2014,2014,893,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
30,July,Jul-14,Q3,Q3-2014,2014,1006,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
31,August,Aug-14,Q3,Q3-2014,2014,1210,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
32,September,Sep-14,Q3,Q3-2014,2014,1128,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
33,October,Oct-14,Q4,Q4-2014,2014,1707,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
34,November,Nov-14,Q4,Q4-2014,2014,1538,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
35,December,Dec-14,Q4,Q4-2014,2014,1554,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
36,January,Jan-15,Q1,Q1-2015,2015,1762,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
37,February,Feb-15,Q1,Q1-2015,2015,1906,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
38,March,Mar-15,Q1,Q1-2015,2015,2831,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
39,April,Apr-15,Q2,Q2-2015,2015,2276,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
40,May,May-15,Q2,Q2-2015,2015,2125,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
41,June,Jun-15,Q2,Q2-2015,2015,2312,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
42,July,Jul-15,Q3,Q3-2015,2015,2726,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
43,August,Aug-15,Q3,Q3-2015,2015,2657,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
44,September,Sep-15,Q3,Q3-2015,2015,2041,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
45,October,Oct-15,Q4,Q4-2015,2015,2242,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
46,November,Nov-15,Q4,Q4-2015,2015,1872,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
47,December,Dec-15,Q4,Q4-2015,2015,1521,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
48,January,Jan-16,Q1,Q1-2016,2016,1687,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
49,February,Feb-16,Q1,Q1-2016,2016,1465,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
50,March,Mar-16,Q1,Q1-2016,2016,1929,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
51,April,Apr-16,Q2,Q2-2016,2016,1832,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
52,May,May-16,Q2,Q2-2016,2016,1527,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
53,June,Jun-16,Q2,Q2-2016,2016,1774,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
54,July,Jul-16,Q3,Q3-2016,2016,1844,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
55,August,Aug-16,Q3,Q3-2016,2016,1304,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
56,September,Sep-16,Q3,Q3-2016,2016,1271,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
57,October,Oct-16,Q4,Q4-2016,2016,1037,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
58,November,Nov-16,Q4,Q4-2016,2016,1108,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
59,December,Dec-16,Q4,Q4-2016,2016,919,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
60,January,Jan-17,Q1,Q1-2017,2017,1073,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
61,February,Feb-17,Q1,Q1-2017,2017,1272,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
62,March,Mar-17,Q1,Q1-2017,2017,1466,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
63,April,Apr-17,Q2,Q2-2017,2017,1254,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
64,May,May-17,Q2,Q2-2017,2017,1393,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
65,June,Jun-17,Q2,Q2-2017,2017,1628,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
66,July,Jul-17,Q3,Q3-2017,2017,1510,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
67,August,Aug-17,Q3,Q3-2017,2017,1710,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
68,September,Sep-17,Q3,Q3-2017,2017,1258,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
69,October,Oct-17,Q4,Q4-2017,2017,1398,Web Development,"Miami-Fort Lauderdale-West Palm Beach, FL"
