Month,Month-Year,Quarter,Quarter-Year,Year
January,01-2012,Q1,Q1-2012,2012
February,02-2012,Q1,Q1-2012,2012
March,03-2012,Q1,Q1-2012,2012
April,04-2012,Q2,Q2-2012,2012
May,05-2012,Q2,Q2-2012,2012
June,06-2012,Q2,Q2-2012,2012
July,07-2012,Q3,Q3-2012,2012
August,08-2012,Q3,Q3-2012,2012
September,09-2012,Q3,Q3-2012,2012
October,10-2012,Q4,Q4-2012,2012
November,11-2012,Q4,Q4-2012,2012
December,12-2012,Q4,Q4-2012,2012
January,01-2013,Q1,Q1-2013,2013
February,02-2013,Q1,Q1-2013,2013
March,03-2013,Q1,Q1-2013,2013
April,04-2013,Q2,Q2-2013,2013
May,05-2013,Q2,Q2-2013,2013
June,06-2013,Q2,Q2-2013,2013
July,07-2013,Q3,Q3-2013,2013
August,08-2013,Q3,Q3-2013,2013
September,09-2013,Q3,Q3-2013,2013
October,10-2013,Q4,Q4-2013,2013
November,11-2013,Q4,Q4-2013,2013
December,12-2013,Q4,Q4-2013,2013
January,01-2014,Q1,Q1-2014,2014
February,02-2014,Q1,Q1-2014,2014
March,03-2014,Q1,Q1-2014,2014
April,04-2014,Q2,Q2-2014,2014
May,05-2014,Q2,Q2-2014,2014
June,06-2014,Q2,Q2-2014,2014
July,07-2014,Q3,Q3-2014,2014
August,08-2014,Q3,Q3-2014,2014
September,09-2014,Q3,Q3-2014,2014
October,10-2014,Q4,Q4-2014,2014
November,11-2014,Q4,Q4-2014,2014
December,12-2014,Q4,Q4-2014,2014
January,01-2015,Q1,Q1-2015,2015
February,02-2015,Q1,Q1-2015,2015
March,03-2015,Q1,Q1-2015,2015
April,04-2015,Q2,Q2-2015,2015
May,05-2015,Q2,Q2-2015,2015
June,06-2015,Q2,Q2-2015,2015
July,07-2015,Q3,Q3-2015,2015
August,08-2015,Q3,Q3-2015,2015
September,09-2015,Q3,Q3-2015,2015
October,10-2015,Q4,Q4-2015,2015
November,11-2015,Q4,Q4-2015,2015
December,12-2015,Q4,Q4-2015,2015
January,01-2016,Q1,Q1-2016,2016
February,02-2016,Q1,Q1-2016,2016
March,03-2016,Q1,Q1-2016,2016
April,04-2016,Q2,Q2-2016,2016
May,05-2016,Q2,Q2-2016,2016
June,06-2016,Q2,Q2-2016,2016
July,07-2016,Q3,Q3-2016,2016
August,08-2016,Q3,Q3-2016,2016
September,09-2016,Q3,Q3-2016,2016
October,10-2016,Q4,Q4-2016,2016
November,11-2016,Q4,Q4-2016,2016
December,12-2016,Q4,Q4-2016,2016
January,01-2017,Q1,Q1-2017,2017
February,02-2017,Q1,Q1-2017,2017
March,03-2017,Q1,Q1-2017,2017
April,04-2017,Q2,Q2-2017,2017
May,05-2017,Q2,Q2-2017,2017
June,06-2017,Q2,Q2-2017,2017
July,07-2017,Q3,Q3-2017,2017
August,08-2017,Q3,Q3-2017,2017
September,09-2017,Q3,Q3-2017,2017
October,10-2017,Q4,Q4-2017,2017
